"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Scrollbar\Scrollbar.stories.js", "JavaScript", 0, 11, 0, 0, 3, 14
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Scrollbar\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\Scrollbar\style.css", "CSS", 28, 0, 0, 0, 5, 33
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\SearchInput\SearchInput.jsx", "JavaScript JSX", 0, 0, 53, 4, 6, 63
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\SearchInput\SearchInput.stories.js", "JavaScript", 0, 14, 0, 0, 3, 17
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\SearchInput\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\SearchInput\style.css", "CSS", 178, 0, 0, 0, 27, 205
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TabItems\TabItems.jsx", "JavaScript JSX", 0, 0, 47, 4, 8, 59
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TabItems\TabItems.stories.js", "JavaScript", 0, 16, 0, 0, 3, 19
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TabItems\index.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\pa515\Downloads\wran-bulkProjectModified-main\wran-bulkProjectModified-main\src\components\TabItems\style.css", "CSS", 174, 0, 0, 0, 29, 203
